2015-06-23 10:56:47 [INFO ] root:33 	Running TARANTULA
2015-06-23 10:56:47 [DEBUG] root:61 	start cmd..
2015-06-23 10:56:47 [DEBUG] root:61 	D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b\bin\java -ea -cp D:\_1_Projects\Tzuyu\workspace\trunk/app/slicer.javaslicer/target/classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/sav-commons.jar;D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b/bin;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\rev25/target/classes;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\rev25/target/test-classes sav.strategies.junit.JunitRunner -methods diffutills.DiffTest.testDiff_EmptyListWithNonEmpty diffutills.DiffTest.testDiff_Insert diffutills.DiffTest.testDiff_Delete diffutills.DiffTest.testDiff_Change diffutills.DiffTest.testDiff_EmptyList diffutills.GenerateUnifiedDiffTest.testGenerateUnifiedWithOneDelta diffutills.GenerateUnifiedDiffTest.fileToLines diffutills.GenerateUnifiedDiffTest.testGenerateUnified diffutills.PatchTest.testPatch_Insert diffutills.PatchTest.testPatch_Delete diffutills.PatchTest.testPatch_Change issues.issue10.PatcherTest.test -testingpkgs difflib diffutils issues -destfile C:\Users\DELL50~1\AppData\Local\Temp\junitResult1887299473835356049.temp
2015-06-23 10:56:47 [DEBUG] root:61 	D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b\bin\java
2015-06-23 10:56:47 [DEBUG] root:61 	-ea
2015-06-23 10:56:47 [DEBUG] root:61 	-cp
2015-06-23 10:56:47 [DEBUG] root:61 	D:\_1_Projects\Tzuyu\workspace\trunk/app/slicer.javaslicer/target/classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/sav-commons.jar;D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b/bin;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\rev25/target/classes;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\rev25/target/test-classes
2015-06-23 10:56:47 [DEBUG] root:61 	sav.strategies.junit.JunitRunner
2015-06-23 10:56:47 [DEBUG] root:61 	-methods
2015-06-23 10:56:47 [DEBUG] root:61 	diffutills.DiffTest.testDiff_EmptyListWithNonEmpty
2015-06-23 10:56:47 [DEBUG] root:61 	diffutills.DiffTest.testDiff_Insert
2015-06-23 10:56:47 [DEBUG] root:61 	diffutills.DiffTest.testDiff_Delete
2015-06-23 10:56:47 [DEBUG] root:61 	diffutills.DiffTest.testDiff_Change
2015-06-23 10:56:47 [DEBUG] root:61 	diffutills.DiffTest.testDiff_EmptyList
2015-06-23 10:56:47 [DEBUG] root:61 	diffutills.GenerateUnifiedDiffTest.testGenerateUnifiedWithOneDelta
2015-06-23 10:56:47 [DEBUG] root:61 	diffutills.GenerateUnifiedDiffTest.fileToLines
2015-06-23 10:56:47 [DEBUG] root:61 	diffutills.GenerateUnifiedDiffTest.testGenerateUnified
2015-06-23 10:56:47 [DEBUG] root:61 	diffutills.PatchTest.testPatch_Insert
2015-06-23 10:56:47 [DEBUG] root:61 	diffutills.PatchTest.testPatch_Delete
2015-06-23 10:56:47 [DEBUG] root:61 	diffutills.PatchTest.testPatch_Change
2015-06-23 10:56:47 [DEBUG] root:61 	issues.issue10.PatcherTest.test
2015-06-23 10:56:47 [DEBUG] root:61 	-testingpkgs
2015-06-23 10:56:47 [DEBUG] root:61 	difflib
2015-06-23 10:56:47 [DEBUG] root:61 	diffutils
2015-06-23 10:56:47 [DEBUG] root:61 	issues
2015-06-23 10:56:47 [DEBUG] root:61 	-destfile
2015-06-23 10:56:47 [DEBUG] root:61 	C:\Users\DELL50~1\AppData\Local\Temp\junitResult1887299473835356049.temp
2015-06-23 10:56:48 [DEBUG] root:61 	failureTraces= difflib.Patch:40, issues.issue10.Patcher:31, issues.issue10.PatcherTest:17, difflib.ChangeDelta:41, difflib.Chunk:82, difflib.DiffUtils:67, difflib.ChangeDelta:75
2015-06-23 10:56:48 [INFO ] root:33 	Slicing-creating trace file...
2015-06-23 10:56:48 [DEBUG] root:61 	start cmd..
2015-06-23 10:56:48 [DEBUG] root:61 	D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b\bin\java -javaagent:C:\Users\DELL50~1\AppData\Local\Temp\tracer.jar=tracefile:C:\Users\DELL50~1\AppData\Local\Temp\javaSlicer3426510393880461019.trace -cp D:\_1_Projects\Tzuyu\workspace\trunk/app/slicer.javaslicer/target/classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/sav-commons.jar;D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b/bin;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\rev25/target/classes;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\rev25/target/test-classes sav.strategies.junit.JunitRunner -methods issues.issue10.PatcherTest.test
2015-06-23 10:56:48 [DEBUG] root:61 	D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b\bin\java
2015-06-23 10:56:48 [DEBUG] root:61 	-javaagent:C:\Users\DELL50~1\AppData\Local\Temp\tracer.jar=tracefile:C:\Users\DELL50~1\AppData\Local\Temp\javaSlicer3426510393880461019.trace
2015-06-23 10:56:48 [DEBUG] root:61 	-cp
2015-06-23 10:56:48 [DEBUG] root:61 	D:\_1_Projects\Tzuyu\workspace\trunk/app/slicer.javaslicer/target/classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/sav-commons.jar;D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b/bin;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\rev25/target/classes;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\java-diff-utils\rev25/target/test-classes
2015-06-23 10:56:48 [DEBUG] root:61 	sav.strategies.junit.JunitRunner
2015-06-23 10:56:48 [DEBUG] root:61 	-methods
2015-06-23 10:56:48 [DEBUG] root:61 	issues.issue10.PatcherTest.test
2015-06-23 10:57:06 [INFO ] root:33 	Slicing-slicing...
2015-06-23 10:57:06 [DEBUG] root:61 	traceFilePath= C:\Users\DELL50~1\AppData\Local\Temp\javaSlicer3426510393880461019.trace
