2015-06-23 12:08:22 [INFO ] root:33 	Running TARANTULA
2015-06-23 12:08:23 [DEBUG] root:61 	start cmd..
2015-06-23 12:08:23 [DEBUG] root:61 	D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b\bin\java -ea -cp D:\_1_Projects\Tzuyu\workspace\trunk/app/slicer.javaslicer/target/classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/sav-commons.jar;D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b/bin;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\javaparser\bin sav.strategies.junit.JunitRunner -methods japa.parser.ast.test.TestDumper.testClassComments japa.parser.ast.test.TestDumper.testDumpVisitor japa.parser.ast.test.TestDumper.testJavadoc japa.parser.ast.test.TestDumper.testComments japa.parser.ast.test.TestIssue46.testCommentsIssue46 -testingpkgs japa.parser -destfile C:\Users\DELL50~1\AppData\Local\Temp\junitResult6429560971128274039.temp
2015-06-23 12:08:23 [DEBUG] root:61 	D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b\bin\java
2015-06-23 12:08:23 [DEBUG] root:61 	-ea
2015-06-23 12:08:23 [DEBUG] root:61 	-cp
2015-06-23 12:08:23 [DEBUG] root:61 	D:\_1_Projects\Tzuyu\workspace\trunk/app/slicer.javaslicer/target/classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/sav-commons.jar;D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b/bin;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\javaparser\bin
2015-06-23 12:08:23 [DEBUG] root:61 	sav.strategies.junit.JunitRunner
2015-06-23 12:08:23 [DEBUG] root:61 	-methods
2015-06-23 12:08:23 [DEBUG] root:61 	japa.parser.ast.test.TestDumper.testClassComments
2015-06-23 12:08:23 [DEBUG] root:61 	japa.parser.ast.test.TestDumper.testDumpVisitor
2015-06-23 12:08:23 [DEBUG] root:61 	japa.parser.ast.test.TestDumper.testJavadoc
2015-06-23 12:08:23 [DEBUG] root:61 	japa.parser.ast.test.TestDumper.testComments
2015-06-23 12:08:23 [DEBUG] root:61 	japa.parser.ast.test.TestIssue46.testCommentsIssue46
2015-06-23 12:08:23 [DEBUG] root:61 	-testingpkgs
2015-06-23 12:08:23 [DEBUG] root:61 	japa.parser
2015-06-23 12:08:23 [DEBUG] root:61 	-destfile
2015-06-23 12:08:23 [DEBUG] root:61 	C:\Users\DELL50~1\AppData\Local\Temp\junitResult6429560971128274039.temp
2015-06-23 12:08:24 [DEBUG] root:61 	failureTraces= japa.parser.ast.test.TestIssue46:19
2015-06-23 12:08:24 [INFO ] root:33 	Slicing-creating trace file...
2015-06-23 12:08:24 [DEBUG] root:61 	start cmd..
2015-06-23 12:08:24 [DEBUG] root:61 	D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b\bin\java -javaagent:C:\Users\DELL50~1\AppData\Local\Temp\tracer.jar=tracefile:C:\Users\DELL50~1\AppData\Local\Temp\javaSlicer4558053423318301829.trace -cp D:\_1_Projects\Tzuyu\workspace\trunk/app/slicer.javaslicer/target/classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/sav-commons.jar;D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b/bin;D:/_1_Projects/Tzuyu/workspace/TEST_CASES/testdata\javaparser\bin sav.strategies.junit.JunitRunner -methods japa.parser.ast.test.TestIssue46.testCommentsIssue46
2015-06-23 12:08:24 [DEBUG] root:61 	D:/_1_Projects/Tzuyu/tools/jdk1.6.0_26-64b\bin\java
