2015-07-01 13:36:22 [INFO ] root:33 	Running OCHIAI
2015-07-01 13:36:23 [INFO ] root:33 	Start analyzing..
2015-07-01 13:36:23 [INFO ] root:33 	testingClasses= [sav.commons.testdata.calculator.Calculator]
2015-07-01 13:36:23 [INFO ] root:33 	junitClassNames= [sav.commons.testdata.calculator.CalculatorTest]
2015-07-01 13:36:23 [INFO ] root:33 	algorithm= OCHIAI
2015-07-01 13:36:23 [INFO ] root:33 	useSlicer= false
2015-07-01 13:36:23 [DEBUG] root:61 	RUNNING JACOCO..
2015-07-01 13:36:23 [DEBUG] root:61 	Start vmRunner..
2015-07-01 13:36:23 [DEBUG] root:61 	destfile= C:\Users\DELL50~1\AppData\Local\Temp\tzJacoco2312500994935572080.exec
2015-07-01 13:36:23 [DEBUG] root:61 	junitResultFile= C:\Users\DELL50~1\AppData\Local\Temp\tzJunitRes743697430358479193.txt
2015-07-01 13:36:23 [DEBUG] root:61 	append=true
2015-07-01 13:36:23 [DEBUG] root:61 	testMethods= [sav.commons.testdata.calculator.CalculatorTest.testPassed4, sav.commons.testdata.calculator.CalculatorTest.testPassed3, sav.commons.testdata.calculator.CalculatorTest.testPassed1, sav.commons.testdata.calculator.CalculatorTest.testFailed1, sav.commons.testdata.calculator.CalculatorTest.testPassed2, sav.commons.testdata.calculator.CalculatorTest.testFailed2, sav.commons.testdata.calculator.CalculatorTest.testFailed3, sav.commons.testdata.calculator.CalculatorTest.testFailed4, sav.commons.testdata.calculator.CalculatorTest.testFailed5, sav.commons.testdata.calculator.CalculatorTest.testFailed6]
2015-07-01 13:36:23 [DEBUG] root:61 	allClassNames= [sav.commons.testdata.calculator.Calculator, sav.commons.testdata.calculator.CalculatorTest]
2015-07-01 13:36:23 [DEBUG] root:61 	junitClassNames= [sav.commons.testdata.calculator.CalculatorTest]
2015-07-01 13:36:23 [DEBUG] root:61 	testingClassNames= [sav.commons.testdata.calculator.Calculator]
2015-07-01 13:36:23 [DEBUG] root:61 	start cmd..
2015-07-01 13:36:23 [DEBUG] root:61 	D:\_1_Projects\_Tools\jdk1.7.0_51\bin\java -javaagent:C:\Users\DELL50~1\AppData\Local\Temp\jacocoagent8378169800438499586.jar=append=true,destfile=C:\Users\DELL50~1\AppData\Local\Temp\tzJacoco2312500994935572080.exec,includes=sav.commons.testdata.calculator.Calculator -cp D:\_1_Projects\Tzuyu\workspace\trunk/app/sav.commons/target/test-classes;D:\_1_Projects\Tzuyu\workspace\trunk/app/slicer.javaslicer/target/classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/sav-commons.jar;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/tzuyu-jacoco.jar sav.strategies.junit.JunitRunner -methods sav.commons.testdata.calculator.CalculatorTest.testPassed4 -destfile C:\Users\DELL50~1\AppData\Local\Temp\tzJunitRes743697430358479193.txt -testingclass sav.commons.testdata.calculator.Calculator sav.commons.testdata.calculator.CalculatorTest
2015-07-01 13:36:23 [DEBUG] root:61 	D:\_1_Projects\_Tools\jdk1.7.0_51\bin\java
2015-07-01 13:36:23 [DEBUG] root:61 	-javaagent:C:\Users\DELL50~1\AppData\Local\Temp\jacocoagent8378169800438499586.jar=append=true,destfile=C:\Users\DELL50~1\AppData\Local\Temp\tzJacoco2312500994935572080.exec,includes=sav.commons.testdata.calculator.Calculator
2015-07-01 13:36:23 [DEBUG] root:61 	-cp
2015-07-01 13:36:23 [DEBUG] root:61 	D:\_1_Projects\Tzuyu\workspace\trunk/app/sav.commons/target/test-classes;D:\_1_Projects\Tzuyu\workspace\trunk/app/slicer.javaslicer/target/classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/sav-commons.jar;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/tzuyu-jacoco.jar
2015-07-01 13:36:23 [DEBUG] root:61 	sav.strategies.junit.JunitRunner
2015-07-01 13:36:23 [DEBUG] root:61 	-methods
2015-07-01 13:36:23 [DEBUG] root:61 	sav.commons.testdata.calculator.CalculatorTest.testPassed4
2015-07-01 13:36:23 [DEBUG] root:61 	-destfile
2015-07-01 13:36:23 [DEBUG] root:61 	C:\Users\DELL50~1\AppData\Local\Temp\tzJunitRes743697430358479193.txt
2015-07-01 13:36:23 [DEBUG] root:61 	-testingclass
2015-07-01 13:36:23 [DEBUG] root:61 	sav.commons.testdata.calculator.Calculator
2015-07-01 13:36:23 [DEBUG] root:61 	sav.commons.testdata.calculator.CalculatorTest
2015-07-01 13:36:24 [DEBUG] root:61 	start cmd..
2015-07-01 13:36:24 [DEBUG] root:61 	D:\_1_Projects\_Tools\jdk1.7.0_51\bin\java -javaagent:C:\Users\DELL50~1\AppData\Local\Temp\jacocoagent8378169800438499586.jar=append=true,destfile=C:\Users\DELL50~1\AppData\Local\Temp\tzJacoco2312500994935572080.exec,includes=sav.commons.testdata.calculator.Calculator -cp D:\_1_Projects\Tzuyu\workspace\trunk/app/sav.commons/target/test-classes;D:\_1_Projects\Tzuyu\workspace\trunk/app/slicer.javaslicer/target/classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/sav-commons.jar;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/tzuyu-jacoco.jar sav.strategies.junit.JunitRunner -methods sav.commons.testdata.calculator.CalculatorTest.testPassed3 -destfile C:\Users\DELL50~1\AppData\Local\Temp\tzJunitRes743697430358479193.txt -testingclass sav.commons.testdata.calculator.Calculator sav.commons.testdata.calculator.CalculatorTest
2015-07-01 13:36:24 [DEBUG] root:61 	D:\_1_Projects\_Tools\jdk1.7.0_51\bin\java
2015-07-01 13:36:24 [DEBUG] root:61 	-javaagent:C:\Users\DELL50~1\AppData\Local\Temp\jacocoagent8378169800438499586.jar=append=true,destfile=C:\Users\DELL50~1\AppData\Local\Temp\tzJacoco2312500994935572080.exec,includes=sav.commons.testdata.calculator.Calculator
2015-07-01 13:36:24 [DEBUG] root:61 	-cp
2015-07-01 13:36:24 [DEBUG] root:61 	D:\_1_Projects\Tzuyu\workspace\trunk/app/sav.commons/target/test-classes;D:\_1_Projects\Tzuyu\workspace\trunk/app/slicer.javaslicer/target/classes;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/sav-commons.jar;D:\_1_Projects\Tzuyu\workspace\trunk/etc/app_assembly/tzuyu-jacoco.jar
2015-07-01 13:36:24 [DEBUG] root:61 	sav.strategies.junit.JunitRunner
2015-07-01 13:36:24 [DEBUG] root:61 	-methods
2015-07-01 13:36:24 [DEBUG] root:61 	sav.commons.testdata.calculator.CalculatorTest.testPassed3
2015-07-01 13:36:24 [DEBUG] root:61 	-destfile
2015-07-01 13:36:24 [DEBUG] root:61 	C:\Users\DELL50~1\AppData\Local\Temp\tzJunitRes743697430358479193.txt
2015-07-01 13:36:24 [DEBUG] root:61 	-testingclass
2015-07-01 13:36:24 [DEBUG] root:61 	sav.commons.testdata.calculator.Calculator
2015-07-01 13:36:24 [DEBUG] root:61 	sav.commons.testdata.calculator.CalculatorTest
2015-07-01 13:36:25 [DEBUG] root:61 	start cmd..
